date,precipitation,temp_max,temp_min,wind,weather
2012-01-01,10.9,9.4,3.6,2,rain
2012-01-02,5.6,9.4,3.6,3.7,rain
2012-01-03,0,9,5.4,3.5,sun
2012-01-04,10.4,4.1,-1.7,0.7,snow
2012-01-05,9.1,6.7,0.2,8.2,rain
2012-01-06,2,8.1,3.8,2,drizzle
2012-01-07,6.1,7.4,0,0.7,rain
2012-01-08,3,9.5,3.9,6.1,rain
2012-01-09,18.6,9.4,1.2,5.5,rain
2012-01-10,20.9,7.8,3.4,7.2,rain
2012-01-11,18,4.5,-2.8,1.1,snow
2012-01-12,0,9.8,1.9,7,sun
2012-01-13,21.3,5,-1.9,7.7,rain
2012-01-14,14.7,8.9,3.8,4.7,rain
2012-01-15,16,6.4,-0.1,8.3,rain
2012-01-16,0.6,9.3,1.3,8.1,drizzle
2012-01-17,21.3,9.8,4.3,1.3,rain
2012-01-18,8.8,7.1,1.7,5.1,rain
2012-01-19,16.2,5.8,-0.2,2.3,rain
2012-01-20,15.7,10.3,5,3.3,rain
2012-01-21,0.6,5.8,-2,4.1,drizzle
2012-01-22,3.3,5.5,-0.8,2.3,rain
2012-01-23,7.8,7.5,0,7.3,rain
2012-01-24,14.6,10.1,3.6,3.8,rain
2012-01-25,3.3,6.4,2.9,7.5,rain
2012-01-26,16.7,7.7,2.7,1.2,rain
2012-01-27,0.2,10.2,4.7,5.6,drizzle
2012-01-28,14.8,8.4,2.7,1.2,rain
2012-01-29,6.8,5.1,1.2,1.8,rain
2012-01-30,0,7.5,-0.8,3.2,fog
2012-01-31,6.2,7.5,3.6,5.8,rain
2012-02-01,16,9.5,4,5.9,rain
2012-02-02,12.3,8.5,1,5.5,rain
2012-02-03,16.4,8.2,4,4.1,rain
2012-02-04,13.4,9.7,2.1,8,rain
2012-02-05,21.7,7.7,0,5.7,rain
2012-02-06,3,11.4,7.1,5.8,rain
2012-02-07,0,8.9,2.3,0.7,fog
2012-02-08,21.8,8.7,1.8,8.2,rain
2012-02-09,1.6,10,5.3,4.6,drizzle
2012-02-10,15.2,6.5,2.3,8,rain
2012-02-11,16.8,11.2,5.9,2.1,rain
2012-02-12,0,10,3.1,7.7,fog
2012-02-13,0,11.8,7.7,7.6,fog
2012-02-14,3.2,7.9,2.3,7.6,rain
2012-02-15,0,8.9,1.5,3.9,fog
2012-02-16,2.2,9.9,6.2,2,drizzle
2012-02-17,6.9,9.8,1.6,2.3,rain
2012-02-18,18.7,10.2,2.1,7.4,rain
2012-02-19,19.2,8.3,3,6.8,rain
2012-02-20,16.7,8.5,1.8,2.1,rain
2012-02-21,5.1,12.8,8.1,8.4,rain
2012-02-22,1,10.1,2.6,2.3,drizzle
2012-02-23,0,11.9,6.4,1.4,sun
2012-02-24,15.5,11.2,6.2,2,rain
2012-02-25,15.2,8.2,0.3,0.8,rain
2012-02-26,15.8,8.1,3.8,0.9,rain
2012-02-27,0,10.8,5.5,4.6,sun
2012-02-28,0,11.1,4.8,3.5,sun
2012-02-29,3.8,8.4,0.6,6,rain
2012-03-01,10.3,13.7,7.4,3.3,rain
2012-03-02,20.3,13.2,9.6,1.4,rain
