symbol,date,price
MSFT,Jan 1 2000,35.76
MSFT,Feb 1 2000,37.46
MSFT,Mar 1 2000,38.91
MSFT,Apr 1 2000,38.26
MSFT,May 1 2000,41.36
MSFT,Jun 1 2000,38.15
MSFT,Jul 1 2000,37.18
MSFT,Aug 1 2000,39.01
MSFT,Sep 1 2000,42.47
MSFT,Oct 1 2000,43.97
MSFT,Nov 1 2000,45.98
MSFT,Dec 1 2000,42.02
MSFT,Jan 1 2001,43.27
MSFT,Feb 1 2001,42.58
MSFT,Mar 1 2001,45.53
MSFT,Apr 1 2001,47.71
MSFT,May 1 2001,51.68
MSFT,Jun 1 2001,48.25
MSFT,Jul 1 2001,52.5
MSFT,Aug 1 2001,56.65
MSFT,Sep 1 2001,53.85
MSFT,Oct 1 2001,58.36
MSFT,Nov 1 2001,63.52
MSFT,Dec 1 2001,68.8
MSFT,Jan 1 2002,65.26
MSFT,Feb 1 2002,64.09
MSFT,Mar 1 2002,63.14
MSFT,Apr 1 2002,67.05
MSFT,May 1 2002,67.19
MSFT,Jun 1 2002,66.9
MSFT,Jul 1 2002,67.93
MSFT,Aug 1 2002,63.46
MSFT,Sep 1 2002,65.45
MSFT,Oct 1 2002,71.45
MSFT,Nov 1 2002,65.69
MSFT,Dec 1 2002,70.99
MSFT,Jan 1 2003,74.15
MSFT,Feb 1 2003,70.36
MSFT,Mar 1 2003,71.84
MSFT,Apr 1 2003,71.94
MSFT,May 1 2003,66.21
MSFT,Jun 1 2003,63.72
MSFT,Jul 1 2003,62.23
MSFT,Aug 1 2003,66.85
MSFT,Sep 1 2003,65.69
MSFT,Oct 1 2003,69.11
MSFT,Nov 1 2003,69.95
MSFT,Dec 1 2003,64.62
MSFT,Jan 1 2004,59.44
MSFT,Feb 1 2004,63.39
MSFT,Mar 1 2004,61.56
MSFT,Apr 1 2004,56.73
MSFT,May 1 2004,53.39
MSFT,Jun 1 2004,55.8
MSFT,Jul 1 2004,55.83
MSFT,Aug 1 2004,53.19
MSFT,Sep 1 2004,53.99
MSFT,Oct 1 2004,58.2
